Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Miguel Montero,32,86,284,241,33,52,8,1,8,33,1,0,38,58,.216,.327,.357,.684,82,86,8,3,0,2,5
2,1B,Anthony Rizzo,26,155,676,583,94,170,43,4,32,109,3,5,74,108,.292,.385,.544,.928,143,317,13,16,0,3,8
3,2B,Ben Zobrist,35,147,631,523,94,142,31,3,18,76,6,4,96,82,.272,.386,.446,.831,121,233,17,4,4,4,6
4,SS,Addison Russell,22,151,598,525,67,125,25,3,21,95,5,1,55,135,.238,.321,.417,.738,94,219,11,12,0,6,6
5,3B,Kris Bryant,24,155,699,603,121,176,35,3,39,102,8,5,75,154,.292,.385,.554,.939,146,334,3,18,0,3,5
6,LF,Jorge Soler,24,86,264,227,37,54,9,0,12,31,0,0,31,66,.238,.333,.436,.769,103,99,5,3,0,3,0
7,CF,Dexter Fowler,30,125,551,456,84,126,25,7,13,48,13,4,79,124,.276,.393,.447,.840,123,204,3,11,1,4,0
8,RF,Jason Heyward,26,142,592,530,61,122,27,1,7,49,11,4,54,93,.230,.306,.325,.631,68,172,12,5,1,2,0
9,IF,Javier Baez,23,142,450,421,50,115,19,1,14,59,12,3,15,108,.273,.314,.423,.737,94,178,8,11,1,2,3
10,UT,Willson Contreras,24,76,283,252,33,71,14,1,12,35,2,2,26,67,.282,.357,.488,.845,122,123,7,4,0,1,0
11,C,David Ross,39,67,205,166,24,38,6,0,10,32,0,1,30,54,.229,.338,.446,.784,106,74,3,0,4,5,6
12,LF,Matt Szczur,26,107,200,185,30,48,9,1,5,24,2,4,13,39,.259,.312,.400,.712,88,74,2,1,1,0,2
13,3B,Tommy La Stella,27,74,169,148,17,40,12,1,2,11,0,1,18,27,.270,.357,.405,.763,103,60,2,2,0,0,1
14,LF,Chris Coghlan,31,48,128,103,21,26,7,2,1,16,1,0,22,26,.252,.391,.388,.779,109,40,2,2,0,1,2
15,CF,Albert Almora,22,47,117,112,14,31,9,1,3,14,0,0,5,20,.277,.308,.455,.763,99,51,5,0,0,0,0
16,C,Tim Federowicz,28,17,33,31,3,6,2,0,0,3,0,0,1,12,.194,.212,.258,.470,24,8,1,0,0,1,0
17,2B,Munenori Kawasaki*\kawasmu01,35,14,26,21,3,7,2,0,0,1,2,0,4,5,.333,.462,.429,.890,140,9,1,1,0,0,0
18,3B,Jeimer Candelario#\candeje01,22,5,14,11,0,1,0,0,0,0,0,0,2,5,.091,.286,.091,.377,7,1,0,1,0,0,1
19,OF,Ryan Kalish*\kalisry01,28,7,10,7,1,2,0,0,0,2,0,0,1,0,.286,.444,.286,.730,101,2,0,1,1,0,0
20,LF,Kyle Schwarber*\schwaky01,23,2,5,4,0,0,0,0,0,0,0,0,1,2,.000,.200,.000,.200,-40,0,0,0,0,0,0
21,P,Jon Lester*\lestejo01,32,30,75,59,3,6,3,0,0,6,0,0,6,18,.102,.185,.153,.337,-9,9,2,0,10,0,0
22,P,Jake Arrieta\arrieja01,30,27,70,65,7,17,2,1,2,7,0,0,4,28,.262,.304,.415,.720,89,27,1,0,1,0,0
23,P,Jason Hammel\hammeja01,33,35,69,65,6,16,3,0,0,7,0,0,1,24,.246,.258,.292,.550,46,19,0,0,3,0,0
24,P,John Lackey\lackejo01,37,28,69,63,1,6,2,0,0,2,0,0,2,31,.095,.123,.127,.250,-33,8,1,0,4,0,0
25,P,Kyle Hendricks\hendrky01,26,30,68,58,1,8,0,0,0,2,0,0,1,29,.138,.167,.138,.305,-17,8,0,1,8,0,0
